Date,Open Price,Close Price,High Price,Low Price,Volume
02-Jan-2014,1845.86,1831.98,1845.86,1827.74,1812452608
03-Jan-2014,1833.21,1831.37,1838.24,1829.13,1649433088
06-Jan-2014,1832.31,1826.77,1837.16,1823.73,1979986176
07-Jan-2014,1828.71,1837.88,1840.10,1828.71,2067762944
08-Jan-2014,1837.90,1837.49,1840.02,1831.40,2319179520
09-Jan-2014,1839.00,1838.13,1843.23,1830.38,1648683392
10-Jan-2014,1840.06,1842.37,1843.15,1832.43,2072823040
13-Jan-2014,1841.26,1819.20,1843.45,1815.52,2365210112
14-Jan-2014,1821.36,1838.88,1839.26,1821.36,2194677504
15-Jan-2014,1840.52,1848.38,1850.84,1840.52,2551404032
16-Jan-2014,1847.99,1845.89,1847.99,1840.30,2239486720
17-Jan-2014,1844.23,1838.70,1846.04,1835.23,2612642304
21-Jan-2014,1841.05,1843.80,1849.31,1832.38,2488078848
22-Jan-2014,1844.71,1844.86,1846.87,1840.88,2163287040
23-Jan-2014,1842.29,1828.46,1842.29,1820.06,2567655936
24-Jan-2014,1826.96,1790.29,1826.96,1790.29,3050558976
27-Jan-2014,1791.03,1781.56,1795.98,1772.88,2684473088
28-Jan-2014,1783.00,1792.50,1793.87,1779.49,2316132096
29-Jan-2014,1790.15,1774.20,1790.15,1770.45,2814337792
30-Jan-2014,1777.17,1794.19,1798.77,1777.17,2487038208
31-Jan-2014,1790.88,1782.59,1793.88,1772.26,2846584832
03-Feb-2014,1782.68,1741.89,1784.83,1739.66,3294948352
04-Feb-2014,1743.82,1755.20,1758.73,1743.82,2714900992
05-Feb-2014,1753.38,1751.64,1755.79,1737.92,2568859392
06-Feb-2014,1752.99,1773.43,1774.06,1752.99,2438373376
07-Feb-2014,1776.01,1797.02,1798.03,1776.01,2448974848
10-Feb-2014,1796.20,1799.84,1799.94,1791.83,2074480128
11-Feb-2014,1800.45,1819.75,1823.54,1800.41,2279064320
12-Feb-2014,1820.12,1819.26,1826.55,1815.97,2118560896
13-Feb-2014,1814.82,1829.83,1830.25,1809.22,2275862784
14-Feb-2014,1828.46,1838.63,1841.65,1825.59,2032494080
18-Feb-2014,1839.03,1840.76,1842.87,1835.01,2136133120
19-Feb-2014,1838.90,1828.75,1847.50,1826.99,2285507840
20-Feb-2014,1829.24,1839.78,1842.79,1824.58,2215243776
21-Feb-2014,1841.07,1836.25,1846.13,1835.60,2272714240
24-Feb-2014,1836.78,1847.61,1858.71,1836.78,2350026752
25-Feb-2014,1847.66,1845.12,1852.91,1840.19,2247244800
26-Feb-2014,1845.79,1845.16,1852.65,1840.66,2314461184
27-Feb-2014,1844.90,1854.29,1854.53,1841.13,2131204224
28-Feb-2014,1855.12,1859.45,1867.92,1847.67,2417877504
03-Mar-2014,1857.68,1845.73,1857.68,1834.44,2118627200
04-Mar-2014,1849.23,1873.91,1876.23,1849.23,2141930496
05-Mar-2014,1874.05,1873.81,1876.53,1871.11,2079186688
06-Mar-2014,1874.18,1877.03,1881.94,1874.18,2071146880
07-Mar-2014,1878.52,1878.04,1883.57,1870.56,2124230528
10-Mar-2014,1877.86,1877.17,1877.87,1867.04,1772573952
11-Mar-2014,1878.26,1867.63,1882.35,1863.88,1980816128
12-Mar-2014,1866.15,1868.20,1868.38,1854.38,1950277632
13-Mar-2014,1869.06,1846.34,1874.40,1841.86,2312850432
14-Mar-2014,1845.07,1841.13,1852.44,1839.57,2108330240
17-Mar-2014,1842.81,1858.83,1862.30,1842.81,1798183808
18-Mar-2014,1858.92,1872.25,1873.76,1858.92,1725838208
19-Mar-2014,1872.25,1860.77,1874.14,1850.35,2060344064
20-Mar-2014,1860.09,1872.01,1873.49,1854.63,2178826752
21-Mar-2014,1874.53,1866.52,1883.97,1863.46,3408795648
24-Mar-2014,1867.67,1857.44,1873.34,1849.69,2292478720
25-Mar-2014,1859.48,1865.62,1871.87,1855.96,2129129856
26-Mar-2014,1867.09,1852.56,1875.92,1852.56,2259000320
27-Mar-2014,1852.11,1849.04,1855.55,1842.11,2480788736
